,P1,P2
1022,Q9NPF7,Q04206
1023,Q9NPF7,P01189
1024,Q9NPF7,P09038
1025,Q9NPF7,P27986
1026,Q9NPF7,P29460
1027,Q9NPF7,P14780
1028,Q9NPF7,P29597
1029,Q9NPF7,P42336
1030,Q9NPF7,O60674
1031,O15528,P10109
1032,O15528,P11473
1033,P09960,P09917
1034,P09960,Q16873
1035,P01579,P42081
1036,P01579,O14746
1037,P01579,Q15185
1038,P01579,P18031
1039,P01579,Q13555
1040,P01579,P16410
1041,P01579,P01375
1042,P01579,P05113
1043,P01579,P23458
1044,P01579,P17181
1045,P01579,Q05655
1046,P01579,P07900
1047,P01579,P15336
1048,P01579,P48551
1049,P01579,P05412
1050,P01579,Q16552
1051,P01579,P27986
1052,P01579,O60674
1053,P01579,P40933
1054,P01579,Q04206
1055,P01579,P33681
1056,P01579,P42336
1057,P01579,P01589
1058,P01579,P01584
1059,Q9Y478,Q13085
1060,P01579,P05231
1061,Q9Y478,P54619
1062,Q9Y478,P11142
1063,Q9Y478,P48357
1064,Q9Y478,O43741
1065,Q9Y478,P10636
1066,Q9Y478,P04637
1067,Q9Y478,Q14457
1068,Q9Y478,P42345
1069,Q9Y478,P04035
1070,Q9Y478,Q13131
1071,Q9Y478,O00763
1072,Q9Y478,P54646
1073,Q9Y478,Q9UGI9
1074,Q9Y478,Q9UGJ0
1075,P48506,P32929
1076,P48506,Q9BYV1
1077,P48506,P48507
1078,P48506,P15104
1079,P48506,P17174
1080,P48506,P00441
1081,P48506,P15144
1082,P48506,P00505
1083,P48506,Q9UGI5
1084,P48506,P04040
1085,Q16539,P13631
1086,P48506,P15559
1087,P48506,Q16878
1088,P48506,Q16881
1089,Q16539,P01106
1090,Q16539,P01584
1091,Q16539,Q02750
1092,Q16539,P04054
1093,Q16539,P09769
1094,Q16539,P47712
1095,Q16539,Q92731
1096,Q16539,P04150
1097,Q16539,P19634
1098,Q16539,P06239
1099,Q16539,P01375
1100,Q16539,P31785
1101,Q16539,P06401
1102,Q16539,P12931
1103,Q16539,P06400
1104,Q16539,P24530
1105,Q16539,P23458
1106,Q16539,Q15759
1107,Q16539,P18850
1108,Q16539,P31749
1109,Q16539,P18846
1110,Q16539,O95644
1111,Q16539,P19878
1112,Q16539,P03372
1113,Q16539,P42574
1114,Q16539,P04839
1115,Q16539,P10826
1116,Q16539,P04637
1117,Q16539,P01589
1118,Q16539,P35222
1119,Q16539,Q04206
1120,Q16539,P52333
1121,Q16539,P05412
1122,Q16539,P00533
1123,Q16539,Q15080
1124,Q16539,P06241
1125,Q16539,P05787
1126,Q16539,P16220
1127,Q16539,P15336
1128,Q16539,P27361
1129,Q16539,P45983
